1 .8464
2 1.4058
3 1.8227
4 2.2406
5 2.3936
6 2.8921
7 3.1594
8 3.4511
9 3.1477
10 2.9844
11 2.9613
12 2.8405
13 2.6855
14 2.7830
15 2.7626
16 2.5834
